UP000000768_4558.xml.gz version="21"
UP000004994_4081.xml.gz version="12"
UP000004995_4555.xml.gz version="9"
UP000006548_3702.xml.gz version="18"
UP000006727_3218.xml.gz version="16"
UP000007015_39946.xml.gz version="60"
UP000007305_4577.xml.gz version="47"
UP000008311_3988.xml.gz version="25"
UP000008810_15368.xml.gz version="13"
UP000008827_3847.xml.gz version="11"
UP000009183_29760.xml.gz version="104"
UP000012960_214687.xml.gz version="29"
UP000017836_13333.xml.gz version="22"
UP000026915_3641.xml.gz version="29"
UP000029981_3659.xml.gz version="23"
UP000030748_4155.xml.gz version="23"
UP000032304_29730.xml.gz version="20"
UP000035740_3555.xml.gz version="13"
UP000036987_29655.xml.gz version="12"
UP000059680_39947.xml.gz version="10"
UP000075243_3821.xml.gz version="6"
UP000077202_1480154.xml.gz version="15"
UP000077755_79200.xml.gz version="13"
UP000084051_4097.xml.gz version="30"
UP000092600_4615.xml.gz version="20"
UP000095767_888268.xml.gz version="8"
UP000189703_4432.xml.gz version="13"
UP000215914_4232.xml.gz version="12"
UP000236291_57577.xml.gz version="15"
UP000243459_4686.xml.gz version="12"
UP000243975_59895.xml.gz version="12"
UP000244336_1504633.xml.gz version="10"
UP000245207_35608.xml.gz version="17"
UP000298416_180675.xml.gz version="6"
UP000324897_38414.xml.gz version="4"
UP000515148_13443.xml.gz version="4"
